track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,song_emotion,Data Split,,random,Track Name (Proper),,Artist Name (Proper)
Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,29,Why Is Everything Chrome (Lean Swag Rock Wit It),46,915,392,-11548,1,7,475,112,0,319,675,13994,4,02:31,Happy,Train,,0.146775720061137,Why Is Everything Chrome (Lean Swag Rock Wit It),,King Critical
Figure It Out,Blu Detiger,51,Figure It Out,54,747,554,-6154,0,8,289,493,425,332,585,96988,4,02:44,Neutral,Train,,0.399790323447938,Figure It Out,,Blu Detiger
They Call Me Tiago (Her Name Is Margo),Tiagz,47,They Call Me Tiago (Her Name Is Margo),57,878,578,-7581,1,0,722,196,433,965,148,100996,4,02:34,Sad,Test,,0.930164086409436,They Call Me Tiago (Her Name Is Margo),,Tiagz
My Heart Went Oops,Tiagz,47,My Heart Went Oops,51,96,412,-11281,1,1,607,119,0,903,49,121027,4,02:09,Sad,Test,,0.978995554662585,My Heart Went Oops,,Tiagz
Muffins In The Freezer,Tiagz,47,Muffins In The Freezer,47,965,412,-8696,1,0,434,778,0.000112,867,486,12003,4,01:46,Neutral,Train,,0.190151906843721,Muffins In The Freezer,,Tiagz
Beggin',Madcon,61,Conquest,61,715,796,-4889,0,4,534,284,0,658,431,12904,4,03:39,Neutral,Test,,0.983687381026963,Beggin',,Madcon
Kolors,Monte Booker,47,Soulection White Label - Monte Booker,56,718,403,-11064,0,2,205,263,0.000156,228,636,129582,4,02:58,Neutral,Train,,0.0596514795839899,Kolors,,Monte Booker
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),78,68,729,-5077,1,5,475,612,0,224,446,12397,4,03:00,Neutral,Train,,0.362386318325017,Play Date,,Melanie Martinez
Ride It,Regard,71,Ride It,81,88,751,-4258,0,7,874,177,0.00643,106,884,117948,4,02:38,Happy,Train,,0.0186576992287848,Ride It,,Regard
No Idea,Don Toliver,78,No Idea,2,651,631,-5717,0,6,896,519,579,165,35,127994,4,02:34,Sad,Validation,,0.759206360990485,No Idea,,Don Toliver
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,83,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),54,92,833,-318,1,1,253,277,0,596,645,141034,4,02:46,Neutral,Train,,0.256652935862544,Go Stupid (Feat. Nle Choppa & Mike Will Made-It),,Polo G
Cannibal,Kesha,76,Cannibal (Expanded Edition),66,71,68,-4676,1,1,106,78,165,493,571,129971,4,03:14,Neutral,Validation,,0.680631681231778,Cannibal,,Kesha
Lottery (Renegade),K Camp,63,Wayy 2 Kritical,56,915,556,-8601,1,1,216,145,179,733,67,148964,4,02:51,Sad,Validation,,0.750585125390543,Lottery (Renegade),,K Camp
Bad Boy,Yung Bae,57,Bad Boy,62,861,82,-4807,0,1,728,32,0.000476,706,781,11804,4,03:08,Happy,Train,,0.0817803986724228,Bad Boy,,Yung Bae
Hard Times,Paramore,75,After Laughter,73,695,818,-5379,0,5,334,647,0.000487,219,916,119965,4,03:03,Happy,Train,,0.272345275997859,Hard Times,,Paramore
death bed (coffee for your head),Powfu,71,death bed (coffee for your head),82,726,431,-8765,0,8,135,731,0,696,348,144026,4,02:53,Sad,Test,,0.826950589079852,Death Bed (Coffee For Your Head),,Powfu
Backyard Boy,Claire Rosinkranz,63,Backyard Boy (Stripped),70,817,635,-7246,1,5,163,323,0,738,454,138015,4,02:09,Neutral,Train,,0.135858104928084,Backyard Boy,,Claire Rosinkranz
cardigan,Taylor Swift,93,folklore,79,613,581,-8588,0,0,424,537,345,25,551,130033,4,04:00,Neutral,Validation,,0.647017179422595,Cardigan,,Taylor Swift
Beef FloMix,Flo Milli,67,"Ho, why is you here ?",62,879,733,-3953,0,11,142,216,0,274,913,117039,4,02:28,Happy,Validation,,0.625554743629274,Beef Flomix,,Flo Milli
Psycho!,Masn,60,How To Kill A Rockstar,68,876,312,-1017,1,7,521,443,0,247,377,114973,4,03:17,Neutral,Test,,0.95561911975123,Psycho!,,Masn
Party Girl,Staysolidrocky,59,Party Girl,71,728,431,-9966,0,6,622,749,0,996,629,130022,4,02:28,Neutral,Train,,0.425294902980564,Party Girl,,Staysolidrocky
Electric Love,Børns,67,Dopamine,82,611,797,-7627,0,6,533,543,137,26,518,120041,4,03:38,Neutral,Train,,0.451824615798693,Electric Love,,Børns
Producer Man,Lyn Lapid,61,Producer Man,62,66,639,-5364,0,10,223,129,0,256,75,173994,4,02:22,Sad,Validation,,0.761333820893612,Producer Man,,Lyn Lapid
ily (i love you baby) (feat. Emilee),Surf Mesa,64,ily (i love you baby) (feat. Emilee),78,674,774,-7567,0,11,892,686,188,393,33,11205,4,02:57,Sad,Train,,0.34821887746792,Ily (I Love You Baby) (Feat. Emilee),,Surf Mesa
Mariposa,Peach Tree Rascals,60,Mariposa,74,676,525,-588,1,9,28,617,0,356,421,112011,4,03:30,Neutral,Train,,0.188962497799946,Mariposa,,Peach Tree Rascals
FML,Arizona Zervas,66,Living Facts,0,816,59,-5961,0,2,121,854,0,108,612,100137,4,03:43,Neutral,Train,,0.227134666080716,Fml,,Arizona Zervas
Savage Love (Laxed - Siren Beat),Jawsh 685,63,Savage Love (Laxed - Siren Beat),77,767,481,-852,0,0,803,234,0,269,761,150076,4,02:51,Happy,Train,,0.105103507770428,Savage Love (Laxed - Siren Beat),,Jawsh 685
Stunnin',Curtis Waters,53,Stunnin',2,906,604,-8332,0,11,746,329,0,255,899,99996,4,02:24,Happy,Validation,,0.749429253642329,Stunnin',,Curtis Waters
Deep End,Fousheé,65,Deep End,68,711,592,-7136,0,4,23,758,0,156,535,124749,4,02:21,Neutral,Test,,0.998395835925286,Deep End,,Fousheé
Freak,Doja Cat,88,Freak,72,688,716,-5702,1,7,385,969,0,989,373,116912,3,04:44,Neutral,Test,,0.817803959907173,Freak,,Doja Cat
Funny Thing,Thundercat,69,It Is What It Is,72,586,893,-8772,1,7,439,827,642,212,65,140023,3,01:57,Sad,Test,,0.801192848643183,Funny Thing,,Thundercat
Money Trees,Kendrick Lamar,88,"good kid, m.A.A.d city",79,716,531,-7355,1,7,122,703,0,224,344,71994,4,06:27,Sad,Train,,0.4983146320035,Money Trees,,Kendrick Lamar
Wait a Minute!,Willow,76,ARDIPITHECUS,86,764,705,-5279,0,3,278,371,0.00194,943,672,101003,4,03:17,Happy,Test,,0.820649742846104,Wait A Minute!,,Willow
Eyes Blue Like The Atlantic,Sista Prod,56,Eyes Blue Like The Atlantic,0,736,279,-16926,0,9,903,65,312,246,476,76431,4,02:35,Neutral,Train,,0.577222105718267,Eyes Blue Like The Atlantic,,Sista Prod
Mood (feat. iann dior),24Kgoldn,74,El Dorado,83,701,716,-3671,0,7,361,174,0,324,732,91007,4,02:21,Happy,Train,,0.173344441482583,Mood (Feat. Iann Dior),,24Kgoldn
Mad at Disney,Salem Ilese,66,Mad at Disney,72,738,621,-7313,1,0,486,424,0.000739,692,715,113968,4,02:17,Happy,Train,,0.0620403649288192,Mad At Disney,,Salem Ilese
Boss Bitch,Doja Cat,88,Boss Bitch,78,707,955,-4593,0,10,222,127,0,202,575,125989,4,02:14,Neutral,Validation,,0.790237584770941,Boss Bitch,,Doja Cat
Falling,Trevor Daniel,66,Falling,15,785,431,-8756,0,10,364,123,0,887,236,127085,4,02:39,Sad,Train,,0.128940411118207,Falling,,Trevor Daniel
Moon (And It Went Like),Kid Francescoli,56,Play Me Again,66,662,657,-10002,1,7,345,288,856,102,584,117986,4,06:31,Neutral,Train,,0.586300059405636,Moon (And It Went Like),,Kid Francescoli
Just Fine,Mary J. Blige,70,Growing Pains,62,923,795,-361,0,11,117,394,565,101,588,123021,4,04:02,Neutral,Validation,,0.649592976710448,Just Fine,,Mary J. Blige
Smile,Lily Allen,67,"Alright, Still (Deluxe)",71,632,639,-5938,1,5,259,143,0,221,733,95506,4,03:17,Happy,Train,,0.237642881093184,Smile,,Lily Allen
Bulletproof,La Roux,65,La Roux,71,674,882,-2771,0,3,477,441,0.00647,68,682,123016,4,03:26,Happy,Test,,0.87102768636965,Bulletproof,,La Roux
Heather,Conan Gray,81,Kid Krow,86,357,425,-7301,1,5,333,584,0,322,27,102078,3,03:18,Sad,Validation,,0.630164413117379,Heather,,Conan Gray
Juicy,Doja Cat,88,Hot Pink,73,785,652,-2607,1,0,668,102,0,697,484,170024,4,03:23,Neutral,Test,,0.970851913530138,Juicy,,Doja Cat
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,75,774,554,-7909,1,0,383,207,0,132,349,99034,4,02:43,Sad,Train,,0.534135940107769,Blueberry Faygo,,Lil Mosey
American Boy,Estelle,65,Shine,78,727,729,-299,1,0,326,171,0,7,512,117932,4,04:45,Neutral,Validation,,0.633781666256076,American Boy,,Estelle
Can't Stop Singing,Ross Lynch,62,Teen Beach Movie,60,513,69,-4986,1,0,341,51,0,102,777,96881,4,02:26,Happy,Train,,0.326979028881897,Can'T Stop Singing,,Ross Lynch
Like That (feat. Gucci Mane),Doja Cat,88,Hot Pink,46,874,487,-6032,1,2,194,237,0,978,371,106052,4,02:43,Neutral,Train,,0.38311051260189,Like That (Feat. Gucci Mane),,Doja Cat
Gimme Love,Joji,85,Nectar,65,484,632,-6917,1,5,976,695,243,209,736,126384,3,03:35,Happy,Train,,0.536507080455114,Gimme Love,,Joji
Mine,Bazzi,72,COSMIC,24,719,803,-3834,1,4,795,148,0.000004,29,712,142966,4,02:14,Happy,Validation,,0.68614909036273,Mine,,Bazzi
What They Want,Russ,77,There's Really A Wolf,72,71,404,-1004,0,1,379,484,0,953,398,139553,4,02:46,Neutral,Train,,0.0243680940720297,What They Want,,Russ
La La La,Naughty Boy,60,La La La,58,754,677,-4399,0,6,316,112,0,111,254,124988,4,03:41,Sad,Train,,0.267932264501584,La La La,,Naughty Boy
ROXANNE,Arizona Zervas,66,ROXANNE,78,621,601,-5616,0,6,148,522,0,46,457,116735,5,02:44,Neutral,Train,,0.259277741702187,Roxanne,,Arizona Zervas
Homage,Mild High Club,62,Skiptracing,0,546,468,-8167,1,5,287,153,257,321,416,73372,4,02:57,Neutral,Test,,0.948071129135323,Homage,,Mild High Club
Opaul,Freddie Dredd,72,Opaul,63,822,871,-4095,1,1,214,567,391,101,648,145062,4,02:21,Neutral,Train,,0.349192710515505,Opaul,,Freddie Dredd
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Jodi Benson,53,The Little Mermaid,60,387,132,-15142,1,5,386,914,707,281,323,1000,4,03:15,Sad,Test,,0.814091377572955,"Part Of Your World - From ""The Little Mermaid"" / Soundtrack Version",,Jodi Benson
Relationship (feat. Future),Young Thug,84,Beautiful Thugger Girls,69,842,597,-6336,1,2,627,252,0,124,298,145992,4,03:35,Sad,Train,,0.481842469780515,Relationship (Feat. Future),,Young Thug
Borderline,Tame Impala,78,The Slow Rush,78,621,873,-3067,0,5,369,406,0.000091,824,873,9796,4,03:58,Happy,Validation,,0.735326625088793,Borderline,,Tame Impala
Renee,Sales,61,Renee,65,924,386,-8183,1,9,548,755,253,118,424,108957,4,02:59,Neutral,Train,,0.151732729940623,Renee,,Sales
Don't Start Now,Dua Lipa,88,Don't Start Now,79,794,793,-4521,0,11,842,125,0,952,677,123941,4,03:03,Happy,Test,,0.994581792786076,Don'T Start Now,,Dua Lipa
Freak (feat. REI AMI),Sub Urban,67,Thrill Seeker,69,619,45,-11965,0,7,515,433,0,513,41,179755,4,03:14,Sad,Test,,0.816419064023206,Freak (Feat. Rei Ami),,Sub Urban
Candy,Doja Cat,88,Amala,71,689,516,-5857,1,8,444,513,0,163,209,124876,4,03:11,Sad,Test,,0.946658815265515,Candy,,Doja Cat
Ophelia,The Lumineers,76,Cleopatra,77,664,573,-6519,1,5,277,613,363,857,566,76023,4,02:40,Neutral,Test,,0.965167579932701,Ophelia,,The Lumineers
Violent Crimes,Kanye West,90,ye,0,665,417,-6731,0,1,524,374,0,186,4,110111,4,03:35,Sad,Train,,0.586027676245884,Violent Crimes,,Kanye West
Someone To You,Banners,65,Someone To You,0,511,93,-3649,1,2,441,56,0,242,673,7501,4,03:40,Happy,Test,,0.925987118374991,Someone To You,,Banners
Plastic Hearts,Miley Cyrus,81,Plastic Hearts,70,551,756,-4948,1,2,652,511,0,765,618,175984,4,03:26,Neutral,Train,,0.553124716468879,Plastic Hearts,,Miley Cyrus
Primadonna,Marina,73,Electra Heart,50,66,689,-2671,0,4,337,884,0,922,427,12798,4,03:41,Neutral,Validation,,0.688506728280356,Primadonna,,Marina
Check It Out,Will.I.Am,72,Pink Friday (Complete Edition),53,848,694,-4272,1,1,572,493,0.00115,105,728,130075,4,04:11,Happy,Test,,0.841162997084481,Check It Out,,Will.I.Am
Hood Baby,Kbfr,36,Hood Baby,53,974,472,-11848,0,11,447,488,157,116,806,126065,4,01:50,Happy,Validation,,0.603971066121839,Hood Baby,,Kbfr
Shoota (feat. Lil Uzi Vert),Playboi Carti,82,Die Lit,79,673,649,-8433,0,1,196,188,0,122,47,153075,4,02:34,Sad,Train,,0.116099255630004,Shoota (Feat. Lil Uzi Vert),,Playboi Carti
I Just Want to Be the One You Love,Boxout,44,I Just Want to Be the One You Love,62,497,349,-8749,0,9,877,967,37,228,251,140551,1,01:21,Sad,Test,,0.917214997944773,I Just Want To Be The One You Love,,Boxout
Make You Mine,Public,61,Make You Mine,77,606,799,-4452,1,9,261,128,0,15,638,103014,4,03:53,Neutral,Train,,0.421483037750139,Make You Mine,,Public
To Be So Lonely,Harry Styles,91,Fine Line,73,758,436,-7269,1,0,418,618,0.00161,335,605,104959,4,03:12,Neutral,Train,,0.311572737622144,To Be So Lonely,,Harry Styles
Hotel Room Service,Pitbull,82,Hotel Room Service,63,849,599,-8164,1,6,227,301,249,763,761,126003,4,03:59,Happy,Train,,0.0190875296176612,Hotel Room Service,,Pitbull
M to the B,Millie B,40,M to the B,58,897,513,-6973,0,10,309,571,0,101,692,139935,4,02:18,Happy,Test,,0.99780694894034,M To The B,,Millie B
Say So (feat. Nicki Minaj),Doja Cat,88,Say So (feat. Nicki Minaj),65,856,641,-464,0,11,204,119,0.000497,427,745,111004,4,03:26,Happy,Train,,0.425679684248017,Say So (Feat. Nicki Minaj),,Doja Cat
What's My Name?,Rihanna,87,Loud,54,69,786,-2959,1,2,692,229,0,797,583,100049,4,04:23,Neutral,Train,,0.563458364957424,What'S My Name?,,Rihanna
Whatcha Say,Jason Derulo,80,Jason Derulo (Deluxe Audio),59,615,711,-5507,1,11,779,444,0,145,711,144036,4,03:41,Happy,Train,,0.394490782317414,Whatcha Say,,Jason Derulo
Hey Julie! (feat. Lil Yachty),Kyle,66,Hey Julie! (feat. Lil Yachty),51,801,505,-5829,1,11,293,446,0.000952,122,757,161059,4,02:36,Happy,Test,,0.989549845643985,Hey Julie! (Feat. Lil Yachty),,Kyle
Crush,Tessa Violet,56,Bad Ideas,65,91,402,-955,1,1,857,297,18,801,825,135993,4,03:36,Happy,Validation,,0.701647974141154,Crush,,Tessa Violet
Mr. Blue Sky,Electric Light Orchestra,70,Out of the Blue,80,388,338,-10054,1,10,329,652,0.000373,248,478,177765,4,05:03,Neutral,Validation,,0.699062259540194,Mr. Blue Sky,,Electric Light Orchestra
Myron,Lil Uzi Vert,85,Eternal Atake (Deluxe) - LUV vs. The World 2,73,771,654,-6976,0,8,298,55,0,214,573,155047,4,03:45,Neutral,Validation,,0.7935238353416,Myron,,Lil Uzi Vert
I'm Looking for Mrs. Bubblegum,Memetown,20,I'm Looking for Mrs. Bubblegum,29,977,39,-10025,1,1,302,214,0.000606,58,962,124036,4,04:41,Happy,Train,,0.294232197953955,I'M Looking For Mrs. Bubblegum,,Memetown
Partition,Beyoncé,89,BEYONCÉ [Platinum Edition],71,418,441,-11522,0,11,283,29,707,306,172,175928,4,05:19,Sad,Validation,,0.699808474085072,Partition,,Beyoncé
Lets Link,Whoheem,48,Lets Link,1,839,683,-9232,0,10,165,667,0,241,522,120003,4,02:40,Neutral,Validation,,0.696246513223407,Lets Link,,Whoheem
Are You Bored Yet? (feat. Clairo),Wallows,71,Nothing Happens,79,682,683,-6444,0,8,287,156,0.00232,273,64,120023,4,02:58,Sad,Train,,0.200129312867005,Are You Bored Yet? (Feat. Clairo),,Wallows
Trampoline,Shaed,59,MELT,64,689,412,-7523,0,7,301,488,16,659,537,126754,4,03:04,Neutral,Train,,0.0252549541614233,Trampoline,,Shaed
Paper Planes,M.I.A.,67,Kala,77,447,848,-6175,1,2,222,33,0.00746,65,485,172253,4,03:25,Neutral,Test,,0.862640940925153,Paper Planes,,M.I.A.
She Belongs to the Streets (Toxic),Rontae Don'T Play,24,She Belongs to the Streets (Toxic),39,893,296,-15774,1,1,907,348,0,176,321,130145,4,02:28,Sad,Validation,,0.767640489469588,She Belongs To The Streets (Toxic),,Rontae Don'T Play
OUT WEST (feat. Young Thug),Jackboys,65,JACKBOYS,77,802,591,-4895,1,8,225,104,0,196,309,139864,4,02:38,Sad,Test,,0.920857633437505,Out West (Feat. Young Thug),,Jackboys
Breathe,Years & Years,70,Take Shelter,62,746,486,-7004,1,10,344,222,0.000141,123,417,92057,4,03:53,Neutral,Test,,0.937444349075034,Breathe,,Years & Years
Yellow Hearts,Ant Saunders,52,Yellow Hearts,68,866,438,-8943,1,7,719,177,0,743,695,129039,4,03:43,Happy,Test,,0.960889716559988,Yellow Hearts,,Ant Saunders
Needs,Verzache,61,Needs,68,813,601,-7552,0,11,116,189,2,426,855,118981,4,02:57,Happy,Validation,,0.74355518884099,Needs,,Verzache
"Sofia the First Main Title Theme - From ""Sofia the First""",Cast - Sofia The First,44,Sofia the First,54,655,789,-3995,1,4,489,423,0,13,66,92968,4,00:53,Sad,Train,,0.203942945207513,"Sofia The First Main Title Theme - From ""Sofia The First""",,Cast - Sofia The First
Mi Pan Su Su Sum,Miel Pops,0,Mi Pan Su Su Sum,0,696,375,-7543,1,3,493,27,0,269,688,101073,4,05:51,Happy,Train,,0.578375050725455,Mi Pan Su Su Sum,,Miel Pops
Wasabi,Little Mix,77,LM5 (Deluxe),66,847,656,-4976,1,2,115,451,854,143,234,114001,4,02:35,Sad,Validation,,0.655131130420076,Wasabi,,Little Mix
CITY OF ANGELS,24Kgoldn,74,DROPPED OUTTA COLLEGE,72,686,541,-4993,0,0,493,42,0,675,724,120082,4,01:52,Happy,Train,,0.408731967389143,City Of Angels,,24Kgoldn
Rags to Riches,Youngboy Never Broke Again,84,Until Death Call My Name (Reloaded),47,763,604,-5754,1,1,114,838,0,261,18,147893,4,01:57,Sad,Train,,0.339943637089801,Rags To Riches,,Youngboy Never Broke Again
Hatchback,Cochise,68,Hatchback,62,734,692,-6227,0,2,555,221,0,224,348,77994,4,02:29,Sad,Validation,,0.607944661098022,Hatchback,,Cochise
VIBEZ,Dababy,82,KIRK,71,768,652,-2708,0,1,307,113,0,107,777,154187,4,02:25,Happy,Train,,0.363550998101218,Vibez,,Dababy
Obnimi (Remix),Okean Elzi,46,Obnimi (Remix),64,714,845,-4234,0,7,856,199,762,372,51,75985,4,03:50,Sad,Train,,0.104143133998965,Obnimi (Remix),,Okean Elzi
All About Cake (feat. Coi Leray & Kaash Paige),Kyleyoumadethat,37,All About Cake,30,905,521,-4318,1,1,443,213,0.00387,175,533,131115,4,03:00,Neutral,Test,,0.82368592184086,All About Cake (Feat. Coi Leray & Kaash Paige),,Kyleyoumadethat
Lose Control,Meduza,74,Lose Control,78,598,526,-8659,0,10,415,129,0,14,529,123935,4,02:48,Neutral,Train,,0.280359440738117,Lose Control,,Meduza
Coño,Puri,56,Coño,60,847,573,-6032,1,0,253,739,149,845,332,99919,4,02:18,Sad,Train,,0.396725310767073,Coño,,Puri
Grow A Pear,Kesha,76,Cannibal (Expanded Edition),60,863,667,-3891,1,0,508,154,341,125,892,120011,4,03:29,Happy,Train,,0.581396367060459,Grow A Pear,,Kesha
Say So - Japanese Version,Rainych,51,Say So (Japanese Version),59,732,668,-6768,1,2,444,775,0.000523,224,705,111001,4,04:02,Happy,Test,,0.944934660683254,Say So - Japanese Version,,Rainych
Photo ID,Remi Wolf,65,I'm Allergic To Dogs!,63,822,66,-3637,1,1,819,111,0,143,802,113956,4,04:25,Happy,Train,,0.18632937781507,Photo Id,,Remi Wolf
TROLLZ (with Nicki Minaj),6Ix9Ine,71,TROLLZ (with Nicki Minaj),5,744,422,-8946,1,1,294,319,11,11,493,180006,4,03:23,Neutral,Train,,0.181779490586002,Trollz (With Nicki Minaj),,6Ix9Ine
Working Bitch,Ashnikko,69,"Hi, It's Me",58,928,392,-7537,0,3,563,374,0,107,454,102023,4,02:58,Neutral,Test,,0.993213461661304,Working Bitch,,Ashnikko
Rags2Riches 2 (feat. Lil Baby),Rod Wave,78,Pray 4 Love (Deluxe),4,874,443,-9628,0,5,241,147,0,124,298,118004,4,03:56,Sad,Validation,,0.795515573654588,Rags2Riches 2 (Feat. Lil Baby),,Rod Wave
Work Out,J. Cole,84,Cole World: The Sideline Story,80,831,427,-6903,1,2,106,531,0,307,216,93004,4,03:55,Sad,Train,,0.224890850476079,Work Out,,J. Cole
The Box,Roddy Ricch,80,Please Excuse Me for Being Antisocial,81,896,586,-6687,0,10,559,104,0,79,642,116971,4,03:17,Neutral,Test,,0.886468122831228,The Box,,Roddy Ricch
Calabria 2008,Enur,51,Raggatronic,54,891,657,-5552,0,10,165,833,26,54,453,125995,4,03:51,Neutral,Train,,0.419458479358188,Calabria 2008,,Enur
Lalala,Y2K,63,Lalala,75,843,39,-7899,1,2,846,178,0,137,495,129972,4,02:41,Neutral,Validation,,0.61898204861455,Lalala,,Y2K
Ben 10 - Theme Song,Kids Superstars,42,"Cartoon Heroes, Vol. 5",33,738,799,-7036,1,7,556,249,0,35,882,142094,4,01:01,Happy,Train,,0.163134457717261,Ben 10 - Theme Song,,Kids Superstars
The Dice Beat Pt. 1,Ricky Desktop,55,The Dice Beat Pt. 1,34,946,269,-10061,1,1,567,18,68,108,999,12595,4,01:40,Happy,Test,,0.855741590308147,The Dice Beat Pt. 1,,Ricky Desktop
Crimewave,Crystal Castles,66,Crystal Castles,66,746,691,-7533,0,4,403,184,259,205,888,119982,4,04:18,Happy,Train,,0.165443901015237,Crimewave,,Crystal Castles
Mr. Sandman,The Chordettes,52,The Chordettes' Best,56,616,426,-8399,1,9,421,634,0,695,589,110395,4,02:24,Neutral,Test,,0.899779925313864,Mr. Sandman,,The Chordettes
Toy,Netta,51,Toy,64,786,712,-5349,0,3,678,706,0,236,795,130144,4,03:00,Happy,Train,,0.0072006613273542,Toy,,Netta
Tonight You Belong To Me,Patience & Prudence,39,The Best Of Patience & Prudence,52,68,32,-7544,0,10,289,954,0,948,769,10807,4,01:55,Happy,Train,,0.434220911686486,Tonight You Belong To Me,,Patience & Prudence
It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,60,"Call Me Crazy, But...",69,657,574,-9484,0,1,407,16,0.00081,172,211,119992,4,04:41,Sad,Test,,0.999937888972892,It Won'T Stop (Feat. Chris Brown) - Ep Version,,Sevyn Streeter
All I Want,Olivia Rodrigo,85,High School Musical: The Musical: The Series (Original Soundtrack),75,376,43,-6585,0,0,328,902,0,912,129,77599,3,02:57,Sad,Train,,0.291895790494259,All I Want,,Olivia Rodrigo
